display_name,text_uuid,sentence_uuid,sentence_obj_in_text,translation,first_word_transcription,first_word_spelling,first_word_number,first_word_obj_in_text,line_number,side,column
 (Kayseri 71),81e51288-2841-4552-b509-7a797fc49d61,ab0c1856-7f8d-4fae-96e2-fd8606566771,55,"If he does not pay at the fulfillment of the term, he will add 1 1/2 shekels per mina per month as interest.",uṣṣab,ú-ṣa-áb,40,56,19.0,1,1
 (Kayseri 71),81e51288-2841-4552-b509-7a797fc49d61,7835ac02-ffef-4cd5-8773-dad72d45a8d8,58,"Witnesses: Ennum-Aššur, Būr-Ištar.",maḫar,IGI,41,60,20.0,1,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,ad89ff7d-acd2-4fe2-9e8a-166d5f053436,3,"To Pūšu-kēn, Innāya, and Kiliya from Šū-Kūbum:",ana,a-na,1,5,1.0,1,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,df90307f-67af-4c83-88fc-003e55d8cf88,41,"My dear brothers, my share from my m. both to accountings and for cash, all that my partners have deposited, you also have deposited and deposit that which is appropriate for accountings for accountings.",u,ù,24,43,8.0,1,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,ac432f35-402b-4658-977a-f13164fa67d4,64,Take that which can be taken as cash as cash in silver and send it to me.,kaspam,KÙ.BABBAR,38,66,14.0,3,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,20a64afc-4f93-4681-a9fb-13134d914808,81,"My dear brothers, my share from my m. should be deposited together with that of my partners so that no one drinks water off my back.",ittaddima,i-ta-dí-ma,48,83,19.0,3,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,8b272b6c-7345-4e8a-a52a-36f7354304af,94,Take heed of my instructions.,ana,a-na,55,96,22.0,4,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,4d765e13-25fe-4cab-997c-41c75d0ef0e3,99,I also am a man of favors.,u,ù,58,100,24.0,5,1
 (Kayseri 90),9715151b-501a-4b99-874f-10eb770c6ae7,c202a7e2-aedb-422b-8ad0-e0c86b8ffe21,105,"Wherever needed, I will do a favor for you.",ašar,a-šar,62,107,25.0,5,1
 (LB  1206),51e95806-26be-4ac8-b229-1643c1d217be,8d0e6c76-ecfb-4068-bd0e-516489e8241d,3,From Šalim-aḫum to Pūšu-kēn:,,um-ma,1,5,1.0,1,1
 (LB  1206),51e95806-26be-4ac8-b229-1643c1d217be,88e4e48c-017b-472a-9e12-6aa6e31a44e3,12,Your tablet came up and concerning the roughly 4 talents tin which Dān-Aššur left in Kanesh you did not write anything.,,ṭup-pá-kà,6,14,2.0,1,1
 (LB  1206),51e95806-26be-4ac8-b229-1643c1d217be,4e97e8d4-e77e-4512-89be-798cc06c6aa9,48,You wrote.,,ta-áš-pu-ra-am,31,49,8.0,1,1
 (LB  1206),51e95806-26be-4ac8-b229-1643c1d217be,d3f8b7f5-452f-496b-9fe2-d981fb8c9b63,82,"While he had arrived, I did not sell anything whatsoever.",,a-dí,56,84,14.0,1,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,33391bfe-6f70-4662-950a-c9fadffec234,3,From Šalim-aḫum to Pūšu-kēn:,,um-ma,1,5,1.0,1,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,1b52dcee-f321-48b0-be95-5e6618168fce,12,My message has come once or twice to you.,,a-dí,6,13,3.0,1,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,bbbb0480-f489-4605-8887-c0510d919496,19,"I said, ""Give Enna-Suen s. Šū-Ištar his tablet and send all of his property so that the representative of Enna-Suen can give me the tablet with my seal.""",,um-ma,12,20,4.0,1,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,494f3e9e-a87d-4fbb-b1c2-e544f4c1385e,40,"As for you there, you have not given him the tablet and he has come here and ... of whatever of my son",,a-ta,30,41,9.0,1,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,49e0a7dc-d836-4c42-8701-3a999c7bc53f,53,They made huge promises ????,,na-áš-ma-ḫa-tim,42,54,13.0,2,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,8bfca3fe-80d3-4fd2-9e43-58761e1c90b2,56,"Now, if he says, ""In the presence of ....",,ù,44,57,14.0,2,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,ed47fd76-6208-4254-962c-4b6dafe36a19,211,He does not want to take a legal representative.,,ša-zu-úz-tù,198,212,32.0,5,1
 (LB  1229),d9f86f1c-878b-4fe7-9508-bcafd3360766,d6e300dd-fcdc-4880-8a02-62846b9ae3ba,216,... two witnesses which ...,,2-ší-na,202,217,33.0,5,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,d9c82957-992c-4270-a00e-7cea9902db10,2,From Alāhum and Aššur-idī to Aššur-nādā and Šū-Aššur;,umma,um-ma,1,4,1.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,c0f7ea59-926c-4fd4-8703-9b5f4db8fcd6,15,(specifically) to Aššur-nādā:,ana,a-na,9,17,4.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,e3c8821e-cae1-4709-8714-cae2c702a847,20,"the same day that you hear the letter Šū-Aššur shall give you 1 talent of tin under the seal of the City, and you must pay him 10 minas of refined silver promptly.",ina,i-na,12,21,5.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,b36ff976-b503-4f6c-82e6-ee8e2dead9b8,46,Why is it that you say:,miššu,mì-šu,32,47,11.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,b6fbdacb-fada-4e1b-aec0-d46706c6815f,53,"""You have seized my silver""?",taṣbat,ta-aṣ-ba-at,37,54,12.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,90f9b1d8-a402-4f8b-a1c2-82af8c016dcc,56,Have I removed any of your silver in this way?,kīamma,ki-a-ma,39,57,13.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,652d8a34-c500-4594-9557-01bd05e99c74,59,Deduct it from the merchandise transported by Ennam-BēIum.,ina,i-na,41,60,14.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,2f24575d-e93a-4037-a71e-22de49984e23,66,"But you yourself, have you not sent the 15 minas that you promised me from Abum to where it  pleased you?",atta,a-ta,47,67,16.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,573152ab-7b83-4189-a940-d6a27f87539e,80,"As to the silver transported by Izimea and Hinnaya, their terms are overdue.",kaspam,KÙ.BABBAR,58,81,19.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,17f32d88-2e7b-46c2-bc61-adad0b0cde64,89,Send the silver as soon as possible.,kaspam,KÙ.BABBAR,66,90,22.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,159cee02-e96e-4ae6-9ae0-a4a7b0290d29,94,"With respect to the certified tablet with the testimony of Lā-qēp and Aššur-imittī son of Amur-ilī, before he leaves you must show him the tablet with his testimony and his seal with one of the travellers as witness, and then erase the words on the tablet.",ṭuppam,ṭup-pá-am,70,95,23.0,1,1
 (Nesr. C17),f6b5ebf1-50c3-4998-ad35-6ffda2f4dcf5,217bf099-8514-46e8-88fe-562ba31936ab,122,"Please, take Alāhum's tin and scatter it among colleagues and friends and pay him his silver.",apputtum,a-pu-tum,95,124,31.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,e4ad24f3-5ac4-420a-a50d-90f99f659d56,3,To Aššur-nādā and Iddin-Suen from Ilī-ālum:,ana,a-na,1,5,1.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,8a6d4a26-cb78-4c43-bbe2-5c649c5588dc,14,"Previously, before you sent me your goods, I wrote to you, (saying): ""Do not send any goods to me!""",ina,i-na,8,15,3.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,70d797e0-6189-4f4c-a6e6-b2cc734d7f44,28,"CHECK TRANSLATION: You drive them verily yourself, so that I do not clear any of my own things.",atta,a-ta,20,29,7.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,c04e1dfa-3207-477a-82de-7d02d20a2815,35,"As your goods arrived, I cleared copper worth 10 or 15 minas of silver for Aššur-taklāku, and  kept it back on account of your goods.",kīma,ki-ma,26,36,9.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,7de47b66-6306-401b-b378-a4f2f23b0dc0,58,"Further, I shall make at least 20 talents of copper or more for you.",u,ù,44,59,13.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,4a3ee309-1634-4785-8d80-a3d3effd4579,68,I,ūla,ú-lá,51,69,14.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,394f5565-44e4-4ecd-942e-42030e3b3e26,79,"Also, x minas [you received] from my outstanding claims and thus opened my eyes.",u,ù,59,80,16.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,8ac85e71-3a6e-4324-8dfe-ae87415d3358,90,You must write to me soon about Šarmama and his partners.,aššumi,a-šu-mì,69,91,18.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,eb13063f-1e11-4d05-9931-7dc5547be7da,98,His son is dead.,,DUMU-šu,76,99,20.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,81eac2cd-2b5d-4301-bdef-721a567bd905,101,We were unable to go to him.,lā,lá,78,103,21.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,63f82ff6-0d36-4948-85dc-96f985d43f01,107,You will write to me later.,ina,i-na,82,108,22.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,0f6fcc8d-9800-4854-bfbf-d795c3da3d90,111,During the sikkātum it is not feasible for us to live up to the promises with respect to your outstanding claims.,sikkatum,sí-kà-tum,85,112,23.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,b083d879-9feb-4e9a-9616-3b7df77a1c2a,120,The accounting concerning Abum-ilī's enterprise has not taken place.,nikkassū,ni-kà-sú,93,121,26.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,5936a81e-12cb-4443-b052-7c5f590edfdf,128,"I asked Turaya, who said: ""I balanced 12 shekels of silver for Iddin-Suen.""",Tūrāya,tù-ra-a,99,129,28.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,79950dad-c937-44ce-8985-f7a2bc915df7,141,Twice I have written to you.,adi,a-dí,109,142,31.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,6e20720e-3827-48ab-9dbb-9380a96b410f,145,"Within 3 months after they have paid the balance (and) the price of the textiles has been received, Abum-ilum must pay the balance to you.",ana,a-na,112,146,32.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,2bff1b89-b147-4401-8bfb-957fc60faa7a,155,"If he does not pay, he must add interest for me.",šumma,šu-ma,121,156,34.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,80f27ffc-9d91-4ada-9508-58adc4d32b11,162,Why has he not paid in accordance with his contract?,miššum,mì-šu-um,126,163,36.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,edb59732-19a7-4032-a23a-c971a86654bb,169,"Indeed, Iddin-Suen will receive 12 shekels from Turaya.",mā,ma-a,131,170,37.0,1,1
 (Nesr. C18),addb9287-2686-445a-903e-3f13bd6decb7,ddd4d9e7-a7fc-4c9f-985d-6df47a7de981,178,Your 5 talents of copper Šalim-beli has brought into Burušhaddum.,bilat,GÚ,139,182,38.0,1,1
 (Nesr. C26),b1ee0540-67dc-4d6c-a9dd-617f4a809829,71ef5aaf-fe48-40f2-881d-c1fdd477c119,3,From Šalim-aḫum to Pūšu-kēn:,umma,um-ma,1,5,1.0,1,1
 (Nesr. C26),b1ee0540-67dc-4d6c-a9dd-617f4a809829,9d4f7e75-6136-4d97-ade2-638091c08ba0,11,"Regarding Ilabrat-bāni about whome you wrote me, you said, ""He requested for management 'ina tašimtim.'""",aššumi,a-šu-mì,6,13,2.0,1,1
 (Nesr. C26),b1ee0540-67dc-4d6c-a9dd-617f4a809829,543e996c-3aef-4d93-a050-fce594d98c6b,31,(You sent) your message by express...with the express!? ,ina,i-na,18,33,6.0,1,1
 (Nesr. C26),b1ee0540-67dc-4d6c-a9dd-617f4a809829,ac6f9472-3235-4ca8-ac30-535ed3895e80,39,Why did you give him anything to manage?,miššu,mì-šu,23,41,8.0,1,1
 (Nesr. C26),b1ee0540-67dc-4d6c-a9dd-617f4a809829,70e54779-bd76-4bb0-aa68-fd9f58d34e42,47,What favor has he done for me for all the silver I make him here?,ana,a-na,28,49,9.0,1,1
 (Nesr. C34),6ad88a0a-b347-4edb-a578-28fae23aaa7d,43d06c2d-7817-424f-a490-9e559efe8c28,20,Kulumaya owes Aššur-mutabbil 12 minas refined silver.,,ma-na,15,24,5.0,1,1
 (Nesr. C34),6ad88a0a-b347-4edb-a578-28fae23aaa7d,72d8cc47-90a8-425d-b995-2ec5b8b7bc03,34,He will pay in Kanesh 15 weeks from the month of Teʾinātum eponymate of Enna-Suen .,,iš-tù,22,36,8.0,1,1
 (Nesr. C34),6ad88a0a-b347-4edb-a578-28fae23aaa7d,b8f3ccd6-a6de-4f2f-903c-3ddab4b63013,52,"If he does not pay the silver in Kanesh at the fulfillment of his term, he will add interest at the colony rate.",,šu-ma,33,54,12.0,1,1
A 1,e0fe72bf-874c-46d5-9b98-e263427e397e,eb10924b-e664-4ce9-bd40-30d5740bbf96,3,To Amur-Ištar and Pūšu-kēn from Kuzallum:,ana,a-na,1,5,1.0,1,1
A 1,e0fe72bf-874c-46d5-9b98-e263427e397e,d1ad7bc1-f1e8-485a-984d-63734819f2ce,14,"Amur-Aššur brings you 1 mina 37 1/2 shekels silver belonging to Ḫinnaya under my seal, the price of the gold which the colony office lent out.",manā,ma-na,9,21,4.0,1,1
A 1,e0fe72bf-874c-46d5-9b98-e263427e397e,cf91470c-e531-41d6-a038-97d39277c683,40,"There, if you need the textiles of Ḫinnaya for smuggling, pay out the silver.",ammākam,a-ma-kam,23,41,10.0,1,1
A 1,e0fe72bf-874c-46d5-9b98-e263427e397e,9ed99a15-c8a5-4249-9de6-69b35899f534,55,"If Ḫinnaya dictated that his goods should be dispatched here, do not in any way send them to me.",šumma,šu-ma,33,57,14.0,1,1
A 4,fcbd0ce6-4980-4957-94c1-05308b46c374,e1c80ea8-2493-4e41-9a99-51495b78ff4b,3,Šū-Suen s. Awarnaḫuš owes 1/2 mina silver to Ikūnum,manā,ma-na,2,7,1.0,1,1
A 4,fcbd0ce6-4980-4957-94c1-05308b46c374,c6417789-36a7-4641-94db-7d4124a3f1f5,19,From the ḫamuštum of A-né-nim and Lālim he has 6 weeks to pay.,ištu,iš-tù,10,21,5.0,1,1
A 4,fcbd0ce6-4980-4957-94c1-05308b46c374,21944853-459e-42d3-98d1-e70cb7097939,35,If he does not pay the word of the colony will be added in interest.,šumma,šu-ma,20,37,9.0,3,1
A 4,fcbd0ce6-4980-4957-94c1-05308b46c374,90eec113-0408-4438-8a02-72b09446f49a,47,Witness: Ili-ašranni s. Aššur-ṭāb,maḫar,IGI,28,49,13.0,3,1
AAA 1 10a,cf788c31-7774-4b91-87d8-4558296631e8,356d5b64-b537-4949-bc60-3ada9001f696,3,"Pūšu-kēn sold 1 black textile for 8 1/2 shekels and 2 tiles for 14 shekels each, when Innāya went to the.",,TÚG,2,9,1.0,1,1
AAA 1 11,69566f84-d9d4-40ea-bcc1-10f8c2c64454,ac175c54-ce33-4378-b695-c29232f2014a,11,2 minas 44 1/3 shekels silver and 7 shekels gold owed by Itūr-ilī.,u,ù,6,13,2.0,1,1
AAA 1 14b envelope,bc4a065c-b1ce-efe7-384c-2b884a55db6a,15371d50-cdef-4dee-9fae-684c4178530f,23,Puzur-Anna gave 1/2 mina refined silver as the beulātum of Šū-Ištar.,manā,ma-na,14,27,4.0,1,1
AAA 1 14b envelope,bc4a065c-b1ce-efe7-384c-2b884a55db6a,6c151392-cea0-433c-b55a-d1b4839f769a,64,He will pay 2 minas silver.,manā,ma-na,45,68,15.0,5,1
ACMI 110-112 tablet (NMS A.1909.586),7e083fd9-c897-2c03-22c3-ac1decd73133,e5d2b2c0-568d-420b-ae38-8ebf7e6a9ee3,3,Aššur-ṭab owes the merchant 15 minas clear tin.,manā,ma-na,2,7,1.0,1,1
ACMI 110-112 tablet (NMS A.1909.586),7e083fd9-c897-2c03-22c3-ac1decd73133,5fa6347f-757b-44b7-9624-22492189d403,17,"He will pay 16 ḫamuštum weeks from the ḫamuštum of Imdilim and Šamaš-bāni, month of Maḫur-ilī, eponymate after Iddin-abim s. Narbitum.",ištu,iš-tù,9,19,4.0,1,1
ACMI 110-112 tablet (NMS A.1909.586),7e083fd9-c897-2c03-22c3-ac1decd73133,4789d219-e1e8-490e-8b00-32ddb5029ec2,48,"If he does not pay (on time), he will add (interest) at the rate of 1 1/2 shekels per mina per month.",šumma,šu-ma,27,50,10.0,2,1
ACMI 110-112 tablet (NMS A.1909.586),7e083fd9-c897-2c03-22c3-ac1decd73133,c509ad1e-7a19-4b4d-8af6-16581850881d,92,"Witnesses: Aḫu-waqar, Irama-Aššūr",maḫar,IGI,62,94,21.0,4,1
AKT 1 1 (Ank. 4669),ebd949f1-336f-9101-1b4f-29895c91d2c2,efd88888-8245-b003-5c47-c0df4c8aaf30,3,Lamassītum owes Šāt-Ea 12 shekels silver.,,GÍN,2,7,1.0,1,1
AKT 1 1 (Ank. 4669),ebd949f1-336f-9101-1b4f-29895c91d2c2,d98a559d-c5e5-aa19-8303-4bccb84c8757,15,"After the ḫamuštum-period of Amurru-bāni and Šalim-Aššur, she will add x shekels per (mina) per month.",,iš-tù,8,17,5.0,1,1
AKT 1 1 (Ank. 4669),ebd949f1-336f-9101-1b4f-29895c91d2c2,1805fd7d-b2b4-46d8-9788-56d9b2d6f81f,45,"Witnesses: Kura, Ikuppim",,IGI,25,47,16.0,3,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,10005e79-1b15-42b4-8168-794ddc63e40d,2,"From Elamma to Aššur-nādā, Iddin-abum and Aššur-lamassā:",,um-ma,1,4,1.0,1,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,9b5aeb31-62a0-4e35-8080-b30d9604088c,14,(specifically) to Aššur-lamassī:,ana,a-na,9,16,6.0,1,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,532e1614-7960-48a3-b784-af9ac13adfed,19,"My tin which you brought up here from the City, send me word about where you entrusted it on commission;",,AN.NA-ki,12,20,7.0,1,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,77ef850a-75d3-4bfb-8f06-b558eff0a936,29,"also, write the names of your witnesses in the letter.",,ù,21,30,13.0,2,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,e947f533-cbee-488a-bd4a-1cd60ef5853c,36,"Then you yourself should write a note about your witnesses, with their names, so that when they convene you can there remind those to whom you entrusted (goods) about the names of your witnesses.",,ù,27,37,16.0,3,1
AKT 1 12 (Ank. 4671),9c77a673-186e-496e-8077-7d3fb9c3d966,f0b55021-1947-4eba-8875-8554d43dcfa1,56,Send me word about who was not and who was present.,,la,46,57,24.0,3,1
AKT 1 14 (Ank. 4677),f39b873d-18f6-4aa0-88f3-efb1a8a960e0,9957cbbb-3af9-45e1-ac1d-3f48f622b78c,3,To Šēzur from Kunaniya:,ana,a-na,1,5,1.0,1,1
AKT 1 14 (Ank. 4677),f39b873d-18f6-4aa0-88f3-efb1a8a960e0,7336fc51-b3d4-4d71-9ceb-716f2e3eaeeb,11,"My dear brother and god, who questioned you?",,a-ḫi,6,12,3.0,1,1
AKT 1 15 (Ank. 4668),04d94aa3-b37c-4993-b033-eea61a30e209,e366fa02-22a5-4397-b9f1-56b0475161db,2,To Aššur-nādā from Ša-ša-aḫ-šu-šar:,ana,a-na,1,4,1.0,1,1
AKT 1 15 (Ank. 4668),04d94aa3-b37c-4993-b033-eea61a30e209,4d035ac7-482c-470b-a6bb-b9ac07999743,10,Since you had left they have received 2/3 mina 5 shekels of silver and given that to Uṣur-ša-Aššur son of Aššur-malik.,,ki-ma,6,11,2.0,1,1
AKT 1 15 (Ank. 4668),04d94aa3-b37c-4993-b033-eea61a30e209,bc221d13-5155-485a-adb4-9eccd77faee7,31,Uṣur-ša-Aššur has taken 3 kutānu-textiles and deposited them in the port office.,,ku-ta-ni,21,34,6.0,1,1
AKT 1 15 (Ank. 4668),04d94aa3-b37c-4993-b033-eea61a30e209,05fe5eb3-28b0-4f4b-8b7c-1eb5274220e0,42,They received 12 shekels of silver from Šarapunuwa and gave that to me.,,GÍN,29,46,8.0,1,1
AKT 1 15 (Ank. 4668),04d94aa3-b37c-4993-b033-eea61a30e209,e60cd07e-8549-44d5-8252-ce9df25adc21,53,The house of Kutubiš brought 4 sacks of barley;,,na-ru-uq,37,57,10.0,1,1
